BGC0000288,*=c1ccn(C2CCC(COC3CCC=CO3)O2)c(=*)[nH]1
BGC0000288,*=C(NC1CCCCNC1=*)C1=CCCC(OCC2CCC(n3ccc(=*)[nH]c3=*)O2)O1
BGC0000288,*=C(NC1CCCCNC1=*)C1=CCCC(OCC2CCC(n3ccc(=*)[nH]c3=*)O2)O1
BGC0000288,*=c1ccn(C2CCC(COC3CCC=CO3)O2)c(=*)[nH]1
BGC0001627,c1ccccc1
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4)C1NCCC213
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4C1CO1)C1NCCC213
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4C1CO1)C1NCCC213
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4C1CO1)C1NCCC213
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4C1CO1)C1NCCC213
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4C1CO1)C1NCCC213
BGC0001205,c1ccc2c(c1)NC1Nc3cccc4c3C13CCN(C4C1CO1)C1NCCC213
BGC0002191,*=c1cccco1
BGC0002191,*=c1cccco1
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001458,*=C1OCC2CO[PH](=*)OC=C12
BGC0001761,*=C1C=CCC=CCC=CCCCC(CCCCC=CCc2ccccc2)O1
BGC0001761,*=C1C=CCC=CCC=CCC2CC(CC(CCC=CCc3ccccc3)O2)O1
BGC0001761,c1ccccc1
BGC0001287,*=C1C=CC=CCCCCCCCCCC=CC(=*)c2cccc3c2C(=*)C=C(N1)C3=*
BGC0001287,*=C1C=CC=CCCCCCCCCC=COC2Cc3c(ccc4c3C(=*)C=C(N1)C4=*)O2
BGC0001287,*=C1C=CC=CCCCCCCCCCC=CC(=*)c2cccc3c2C(=*)C=C(N1)C3=*
BGC0001287,*=C1C=CC=CCCCCCCCCCC=CC(=*)c2cccc3c2C(=*)C=C(N1)C3=*
BGC0001133,*=C1CCOC(=*)CNC(=*)CNC(=*)CNC(=*)CNC(=*)CNC(=*)CN1
BGC0001667,*=C1CCNC(=*)C(Cc2ccccc2)NC(=*)CNC(=*)C(=*)NC(=*)CCCNC(=*)CC(C=CC=CCCCc2ccccc2)NC(=*)CN1
BGC0000351,
BGC0000106,*=C1C=CCCC=CCCCC=CC(=*)c2cccc3c2C(=*)C=C(NC(=*)C=CC=CC=CCCC1)C3=*
BGC0001630,*=C(CCc1ccccc1)NCCC(=*)NC(CCC(=*)NCC(=*)NCCc1ccccc1)Cc1c[nH]c2ccccc12
BGC0001001,*=C1C=CCN1
